,Immoweb Code,Prices,Locality,House Type,Area,Rooms,Kitchen,Terrace Area,Furniture,Fireplace,Garden Orientation,Garden Area,Ground Surface,Num of facades,Swimming Pool,Building State
19,Immoweb code : 9302013,245000€,MaalseSteenweg169Box02018310—St-Kruis,Apartmentforsale,100,3,Installed,16,No,,,,,2,,As new
20,Immoweb code : 9212083,249000€,Kaasstraat753400—Landen,Apartmentforsale,91,2,Hyper equipped,12,No,,,,,3,No,As new
21,Immoweb code : 9159268,249000€,ChausseedeNapoleon22EBox124500—Huy,Duplexforsale,158,3,Not installed,,No,,,,,2,,As new
22,Immoweb code : 9119184,249300€,1300—Wavre|Askfortheexactaddress,Apartmentforsale,87,2,Installed,8,,,,,,,No,As new
23,Immoweb code : 9284008,250000€,Schapenstraat24Box01072140—Borgerhout,Apartmentforsale,85,1,Hyper equipped,,No,,,,,,,As new
24,Immoweb code : 9305966,215000€,ChausséedeNinove716Box51070—Anderlecht,Apartmentforsale,93,2,Hyper equipped,,No,1,1,,,2,,Good
25,Immoweb code : 9305748,239000€,7700—Mouscron|Askfortheexactaddress,Apartmentforsale,110,3,Installed,,No,,,,,,,Good
26,Immoweb code : 9306004,240000€,1190—Forest|Askfortheexactaddress,Apartmentforsale,91,2,Installed,,No,,,,,,,Good
27,Immoweb code : 9306003,240000€,1190—Forest|Askfortheexactaddress,Apartmentforsale,91,2,Installed,,No,,,,,,,Good
28,Immoweb code : 9312947,248000€,Zultseweg628790—Waregem,Apartmentforsale,106,2,,,,,,,,,No,As new
29,Immoweb code : 6981865,From 162000€ To 715000€,Slachthuiskaai23500—Hasselt,Newrealestateproject-Apartmentsforsale,,,,,,,,,,,,
30,Immoweb code : 9299897,239000€,LuitenantLippenslaan342140—Borgerhout,Apartmentforsale,108,2,Installed,,,,,,,1,,Good
31,Immoweb code : 9277546,50000€ + 2700€ per month,1950—Kraainem|Askfortheexactaddress,Apartmentforsale,160,3,Installed,,No,,,,,,,Good
32,Immoweb code : 9218437,205000€,Stationsstraat52BoxB8740—Pittem,Apartmentforsale,90,2,Installed,15,No,,,,,,,Good
33,Immoweb code : 9181121,209000€,1080—Molenbeek-Saint-Jean|Askfortheexactaddress,Apartmentforsale,115,2,Installed,21,No,,,,,2,No,Good
34,Immoweb code : 9167095,209000€,Torhoutsesteenweg156Box4028400—Oostende,Apartmentforsale,85,3,Installed,19,No,,,,,2,No,Good
35,Immoweb code : 9280969,209000€,"oostakkerdorp33,9041—Oostakker",Apartmentforsale,80,2,Installed,8,No,,,,,,,Good
36,Immoweb code : 8953080,210000€,avenueduluxembourg26900—Marche-en-Famenne,Apartmentforsale,85,2,Installed,,No,,,12000,,,No,Good
37,Immoweb code : 9270996,210000€,Koerslaan2/2028450—Bredene,Apartmentforsale,75,2,Installed,,,,,,,,,As new
38,Immoweb code : 9285982,215000€,Tuinbouwstraat262018—Antwerp1,Apartmentforsale,70,2,Installed,2,,,,,,2,,Good
39,Immoweb code : 9280537,215000€,Dorp42/39450—Denderhoutem,Apartmentforsale,96,2,Hyper equipped,,No,,,,,,No,As new
40,Immoweb code : 9196634,218000€,BoulevardLeopoldIII151030—Schaerbeek,Studioforsale,71,,,,,,,,,,,To renovate
41,Immoweb code : 9243408,219000€,1020—LAKEN(BRU.)|Askfortheexactaddress,Apartmentforsale,72,1,USA installed,2,No,,,,,2,,Good
42,Immoweb code : 9275602,219000€,1070—Anderlecht|Askfortheexactaddress,Apartmentforsale,90,2,Semi equipped,,No,,,,,2,,Good
43,Immoweb code : 9248292,219000€,koolmijnlaan26Box13530—Houthalen-Helchteren,Duplexforsale,90,2,Hyper equipped,,,,,,,2,,As new
44,Immoweb code : 8996206,219000€,Raversijdestraat22Box008400—Oostende,Groundfloorforsale,85,2,Hyper equipped,,No,,,,,,No,Good
45,Immoweb code : 9252765,219000€,VanLierdestraat14ABox119470—Denderleeuw,Apartmentforsale,90,2,Hyper equipped,7,,,,,,2,,As new
46,Immoweb code : 9280051,220000€,bleekhofstraat113Box452140—Borgerhout,Apartmentforsale,90,2,Installed,,,,,,,2,,Good
47,Immoweb code : 9267950,220000€,RueGrande116780—Messancy,Apartmentforsale,90,2,,,No,,,,,3,,
48,Immoweb code : 9292597,225000€,BoulevardLouisMettewie831080—Molenbeek-Saint-Jean,Apartmentforsale,110,2,Installed,8,No,,,,,2,No,As new
49,Immoweb code : 9234571,225000€,1140—Evere|Askfortheexactaddress,Apartmentforsale,91,2,Installed,15,,,,,,,,Good
50,Immoweb code : 9268680,225000€,BoulevardPiercot44000—Liege,Apartmentforsale,70,1,Not installed,6,No,,,,,3,No,To be done up
51,Immoweb code : 8906340,225000€,RueauxChevaux1Box214000—Liège,Apartmentforsale,146,2,Hyper equipped,,,,,,,,,Just renovated
52,Immoweb code : 9279358,225000€,ChausséedeLiège294500—Huy,Duplexforsale,112,3,Installed,,No,,,,,,,Good
53,Immoweb code : 9141785,229000€,Schoolstraat45Box0012060—Antwerp,Groundfloorforsale,72,2,Hyper equipped,,No,,,,,,,As new
